State,Statecode,Confirmed,Active,Recovered,Deaths,Last Updated,Latitude,Longitude
Maharashtra,MH,375799,148601,213238,13656,26/07/2020 20:06:27,19.7515,75.7139
Tamil Nadu,TN,213723,53703,156526,3494,26/07/2020 18:17:27,11.1271,78.6569
Delhi,DL,130606,11904,114875,3827,26/07/2020 15:08:29,28.7041,77.1025
Karnataka,KA,96141,58414,35838,1880,27/07/2020 00:56:29,15.3173,75.7139
Andhra Pradesh,AP,96298,48956,46301,1041,26/07/2020 18:26:30,15.9129,79.74
Uttar Pradesh,UP,66988,23921,41641,1426,26/07/2020 16:26:27,26.8467,80.9462
Gujarat,GJ,55822,13033,40467,2322,26/07/2020 21:16:28,22.2587,71.1924
West Bengal,WB,58718,19595,37751,1372,26/07/2020 20:40:27,22.9868,87.855
Telangana,TG,54059,12264,41332,463,26/07/2020 12:06:27,18.1124,79.0193
Rajasthan,RJ,36430,9852,25954,624,26/07/2020 21:40:29,27.0238,74.2179
Bihar,BR,38919,12361,26308,249,26/07/2020 17:16:28,25.0961,85.3131
Haryana,HR,31332,6556,24384,392,26/07/2020 20:27:35,29.0588,76.0856
Assam,AS,32229,8106,24041,79,26/07/2020 22:49:42,26.2006,92.9376
Madhya Pradesh,MP,27800,7857,19132,811,26/07/2020 20:27:37,22.9734,78.6569
Odisha,OR,25389,8422,16793,174,26/07/2020 22:06:31,20.9517,85.0985
Jammu and Kashmir,JK,17920,7680,9928,312,26/07/2020 18:49:30,33.7782,76.5762
Kerala,KL,19026,9655,9300,62,26/07/2020 22:26:30,10.8505,76.2711
Punjab,PB,13218,4102,8810,306,26/07/2020 20:16:29,31.1471,75.3412
Jharkhand,JH,8349,4562,3704,83,26/07/2020 22:26:33,23.6102,85.2799
Chhattisgarh,CT,7613,2626,4944,43,26/07/2020 23:40:30,21.2787,81.8661
Uttarakhand,UT,6104,2437,3566,63,26/07/2020 22:56:33,30.0668,79.0193
Goa,GA,4861,1549,3277,35,26/07/2020 20:40:30,15.2993,74.124
Tripura,TR,3919,1526,2362,13,27/07/2020 00:06:32,23.9408,91.9882
Puducherry,PY,2787,1102,1645,40,26/07/2020 15:39:27,11.9416,79.8083
Manipur,MN,2235,714,1521,0,26/07/2020 20:50:28,24.6637,93.9063
Himachal Pradesh,HP,2176,950,1198,13,26/07/2020 22:16:28,31.1048,77.1734
Ladakh,LA,1285,218,1063,4,26/07/2020 22:26:38,34.2996,78.2932
Nagaland,NL,1339,786,549,4,26/07/2020 17:54:33,26.1584,94.5624
Arunachal Pradesh,AR,1158,650,505,3,26/07/2020 22:40:39,28.218,94.7278
Chandigarh,CH,887,302,572,13,26/07/2020 20:40:34,30.7333,76.7794
Dadra and Nagar Haveli and Daman and Diu,DN,950,373,565,2,26/07/2020 22:49:45,20.2762,73.0083
Meghalaya,ML,702,562,135,5,26/07/2020 22:56:36,25.467,91.3662
Sikkim,SK,558,397,147,1,26/07/2020 21:51:30,27.3389,88.6065
Mizoram,MZ,361,178,183,0,25/07/2020 09:51:22,23.1645,92.9376
Andaman and Nicobar Islands,AN,324,141,182,0,27/07/2020 08:57:30,11.7401,92.6586
State Unassigned,UN,0,0,0,0,19/07/2020 09:40:01,,
Lakshadweep,LD,0,0,0,0,26/03/2020 07:19:29,10.076,73.6303
